N,n,objective,family_label,top_k,top10_count,claim_role
all_native,all_native,U2,diversity,10,2,aggregate_over_native_N_and_objective_top10_counts
all_native,all_native,U2,penalty_repair,10,19,aggregate_over_native_N_and_objective_top10_counts
all_native,all_native,U2,recovery_anchor,10,7,aggregate_over_native_N_and_objective_top10_counts
all_native,all_native,U2,surrogate_guided,10,9,aggregate_over_native_N_and_objective_top10_counts
all_native,all_native,U2,uncertainty,10,3,aggregate_over_native_N_and_objective_top10_counts
all_native,all_native,constrained_reward,diversity,10,2,aggregate_over_native_N_and_objective_top10_counts
all_native,all_native,constrained_reward,penalty_repair,10,22,aggregate_over_native_N_and_objective_top10_counts
all_native,all_native,constrained_reward,recovery_anchor,10,6,aggregate_over_native_N_and_objective_top10_counts
all_native,all_native,constrained_reward,surrogate_guided,10,6,aggregate_over_native_N_and_objective_top10_counts
all_native,all_native,constrained_reward,uncertainty,10,4,aggregate_over_native_N_and_objective_top10_counts
all_native,all_native,penalty_repair,diversity,10,1,aggregate_over_native_N_and_objective_top10_counts
all_native,all_native,penalty_repair,penalty_repair,10,23,aggregate_over_native_N_and_objective_top10_counts
all_native,all_native,penalty_repair,recovery_anchor,10,5,aggregate_over_native_N_and_objective_top10_counts
all_native,all_native,penalty_repair,surrogate_guided,10,6,aggregate_over_native_N_and_objective_top10_counts
all_native,all_native,penalty_repair,uncertainty,10,5,aggregate_over_native_N_and_objective_top10_counts
all_native,all_native,strict_penalty_guard,diversity,10,2,aggregate_over_native_N_and_objective_top10_counts
all_native,all_native,strict_penalty_guard,penalty_repair,10,23,aggregate_over_native_N_and_objective_top10_counts
all_native,all_native,strict_penalty_guard,recovery_anchor,10,5,aggregate_over_native_N_and_objective_top10_counts
all_native,all_native,strict_penalty_guard,surrogate_guided,10,5,aggregate_over_native_N_and_objective_top10_counts
all_native,all_native,strict_penalty_guard,uncertainty,10,5,aggregate_over_native_N_and_objective_top10_counts
all_native,all_native,u2_primary,diversity,10,3,aggregate_over_native_N_and_objective_top10_counts
all_native,all_native,u2_primary,penalty_repair,10,20,aggregate_over_native_N_and_objective_top10_counts
all_native,all_native,u2_primary,recovery_anchor,10,6,aggregate_over_native_N_and_objective_top10_counts
all_native,all_native,u2_primary,surrogate_guided,10,9,aggregate_over_native_N_and_objective_top10_counts
all_native,all_native,u2_primary,uncertainty,10,2,aggregate_over_native_N_and_objective_top10_counts
