N,strategy_id,family_label,candidate_source,u2_range,peeq_max,surface_t_proxy,mises_max,u2_norm_within_N,peeq_norm_within_N,surface_t_norm_within_N,mises_norm_within_N,u2_rank_within_N,peeq_rank_within_N,surface_t_rank_within_N,mises_rank_within_N,U2_gate_status,PEEQ_gate_status,U2_PEEQ_gate_status,hierarchy_region,constrained_reward_if_available,source_file
N24,N24_A03_greedy_maximin_distance,maximin,,0.0002935029126547,0.1646057963371276,584637632.0,579944576.0,0.442120967211339,0.38440319404219336,0.3370859977633126,0.8484848484848485,166,165,160,156,U2_near_safe_analysis_gate,PEEQ_safe_analysis_gate,near_admissible_analysis_gate,near_admissible_review_region,0.1362433862433862,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_native_combined552_teacher_dataset.csv
N24,N24_A04_method_c_u2_first_engineering,method_c,,5.621172385872342e-05,0.1543776392936706,581727232.0,579944640.0,0.04469890646636198,0.12891555098642155,0.07628251082499354,0.8787878787878788,51,53,29,165,U2_safe_analysis_gate,PEEQ_safe_analysis_gate,combined_safe_analysis_gate,admissible_secondary_SurfaceT_ranking_region,0.6867724867724868,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_native_combined552_teacher_dataset.csv
N24,N24_A05_center_out,center_out,,0.0006265991143266,0.172961801290512,588072192.0,579944128.0,1.0,0.5931266230853768,0.6448599202821668,0.6363636363636364,190,177,185,92,U2_outside_near_safe_analysis_gate,PEEQ_safe_analysis_gate,outside_U2_PEEQ_analysis_gate,U2_warpage_filter_region,0.0714285714285714,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_native_combined552_teacher_dataset.csv
N24,N24_A06_edge_in_alternating,edge_in,,0.0005255469384337,0.1848475784063339,590591168.0,579942784.0,0.8307549294607388,0.8900197161719887,0.8705875605769506,0.0,178,187,189,1,U2_outside_near_safe_analysis_gate,PEEQ_outside_analysis_gate,outside_U2_PEEQ_analysis_gate,PEEQ_safety_filter_region,0.1365079365079365,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_native_combined552_teacher_dataset.csv
N24,N24_A07_regular_jump_coprime,regular_jump,,0.0002371341688558,0.1627264767885208,583243392.0,579943104.0,0.3477129850362153,0.3374599451282226,0.21214693315745706,0.15151515151515152,157,156,131,5,U2_near_safe_analysis_gate,PEEQ_safe_analysis_gate,near_admissible_analysis_gate,near_admissible_review_region,0.2767195767195767,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_native_combined552_teacher_dataset.csv
N24,N24_A08_block_interleaved_quarters,block_interleaved,,0.000624739785735,0.1546273678541183,584995648.0,579943744.0,0.9968859433667759,0.13515348427600735,0.3691681243368795,0.45454545454545453,188,54,165,73,U2_outside_near_safe_analysis_gate,PEEQ_safe_analysis_gate,outside_U2_PEEQ_analysis_gate,U2_warpage_filter_region,0.2658730158730158,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_native_combined552_teacher_dataset.csv
N24,N24_A09_center_edge_alternating,center_edge,,0.0005546370016418,0.1753909140825271,581775744.0,579943744.0,0.8794757982212933,0.6538030772414625,0.08062971353195882,0.45454545454545453,186,180,32,73,U2_outside_near_safe_analysis_gate,PEEQ_safe_analysis_gate,outside_U2_PEEQ_analysis_gate,U2_warpage_filter_region,0.21005291005291,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_native_combined552_teacher_dataset.csv
N24,N24_A10_graph_pointer_policy_zero_shot_or_proxy_best,graph_pointer_proxy,,0.0001888593301373,0.1541593670845031,583863616.0,579943360.0,0.2668609062759989,0.12346336130768985,0.2677257477131305,0.2727272727272727,142,44,151,12,U2_near_safe_analysis_gate,PEEQ_safe_analysis_gate,near_admissible_analysis_gate,near_admissible_review_region,0.4444444444444445,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_native_combined552_teacher_dataset.csv
N24,N24_A11_graph_pointer_policy_diverse_01,graph_pointer_proxy,,0.0002307547981672,0.163732573390007,589194880.0,579943936.0,0.3370286327929494,0.36259108540188106,0.7454649729016718,0.5454545454545454,153,161,188,82,U2_near_safe_analysis_gate,PEEQ_safe_analysis_gate,near_admissible_analysis_gate,near_admissible_review_region,0.1941798941798942,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_native_combined552_teacher_dataset.csv
N24,N24_A12_graph_pointer_policy_diverse_02,graph_pointer_proxy,,0.0005429062013035,0.1641553044319152,583079232.0,579943936.0,0.8598287187477966,0.37315042244420077,0.19743641212399277,0.5454545454545454,180,163,120,82,U2_outside_near_safe_analysis_gate,PEEQ_safe_analysis_gate,outside_U2_PEEQ_analysis_gate,U2_warpage_filter_region,0.174074074074074,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_native_combined552_teacher_dataset.csv
N24,N24_A13_graph_pointer_policy_anti_odd_even_novelty,graph_pointer_proxy,,0.0002316626496394,0.1621642112731933,581204672.0,579944256.0,0.33854912836955636,0.32341519682486536,0.029455452642445444,0.696969696969697,155,148,10,101,U2_near_safe_analysis_gate,PEEQ_safe_analysis_gate,near_admissible_analysis_gate,near_admissible_review_region,0.3362433862433863,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_native_combined552_teacher_dataset.csv
