stripe_index,center_row,center_col,affected_cells,coverage_reward,pre_reheat,post_peak,post_variance,delta_peak,delta_variance,delta_reheat_proxy,delta_peak_to_coverage,delta_variance_to_coverage,delta_reheat_to_coverage
38,34,42,20,1.0,0.0,0.48028552532196045,0.0028783264569938183,0.48028552532196045,0.0028783264569938183,0.1945994794368744,0.48028552532196045,0.0028783264569938183,0.1945994794368744
39,36,43,16,1.0,0.0,0.48028552532196045,0.0026833934243768454,0.48028552532196045,0.0026833934243768454,0.21574993431568146,0.48028552532196045,0.0026833934243768454,0.21574993431568146
40,37,44,13,1.0,0.0,0.48028552532196045,0.0024908906780183315,0.48028552532196045,0.0024908906780183315,0.22718773782253265,0.48028552532196045,0.0024908906780183315,0.22718773782253265
41,35,45,17,1.0,0.0,0.48028552532196045,0.0027300692163407803,0.48028552532196045,0.0027300692163407803,0.2048964947462082,0.48028552532196045,0.0027300692163407803,0.2048964947462082
42,32,46,22,1.0,0.0,0.48028552532196045,0.0029411637224256992,0.48028552532196045,0.0029411637224256992,0.1755666434764862,0.48028552532196045,0.0029411637224256992,0.1755666434764862
43,32,47,24,1.0,0.0,0.48028552532196045,0.002928794827312231,0.48028552532196045,0.002928794827312231,0.1755666434764862,0.48028552532196045,0.002928794827312231,0.1755666434764862
44,30,48,21,1.0,0.0,0.48028552532196045,0.002819877350702882,0.48028552532196045,0.002819877350702882,0.1848316341638565,0.48028552532196045,0.002819877350702882,0.1848316341638565
45,28,49,17,1.0,0.0,0.48028552532196045,0.002643525367602706,0.48028552532196045,0.002643525367602706,0.2048964947462082,0.48028552532196045,0.002643525367602706,0.2048964947462082
46,26,50,13,1.0,0.0,0.48028552532196045,0.002353493357077241,0.48028552532196045,0.002353493357077241,0.22718773782253265,0.48028552532196045,0.002353493357077241,0.22718773782253265
47,24,51,9,1.0,0.0,0.48028552532196045,0.0018550959648564458,0.48028552532196045,0.0018550959648564458,0.2711672782897949,0.48028552532196045,0.0018550959648564458,0.2711672782897949
48,22,52,4,1.0,0.0,0.4796307384967804,0.0010125484550371766,0.4796307384967804,0.0010125484550371766,0.26679709553718567,0.4796307384967804,0.0010125484550371766,0.26679709553718567
49,32,53,22,1.0,0.0,0.48028552532196045,0.0025621752720326185,0.48028552532196045,0.0025621752720326185,0.20406955480575562,0.48028552532196045,0.0025621752720326185,0.20406955480575562
50,32,54,24,1.0,0.0,0.48028552532196045,0.0030002978164702654,0.48028552532196045,0.0030002978164702654,0.1755666434764862,0.48028552532196045,0.0030002978164702654,0.1755666434764862
51,32,55,24,1.0,0.0,0.48028552532196045,0.003027582773938775,0.48028552532196045,0.003027582773938775,0.1755666434764862,0.48028552532196045,0.003027582773938775,0.1755666434764862
52,32,56,24,1.0,0.0,0.48028552532196045,0.003025208367034793,0.48028552532196045,0.003025208367034793,0.1755666434764862,0.48028552532196045,0.003025208367034793,0.1755666434764862
53,32,57,24,1.0,0.0,0.48028552532196045,0.003028305247426033,0.48028552532196045,0.003028305247426033,0.1755666434764862,0.48028552532196045,0.003028305247426033,0.1755666434764862
54,32,58,24,1.0,0.0,0.48028552532196045,0.003027000231668353,0.48028552532196045,0.003027000231668353,0.1755666434764862,0.48028552532196045,0.003027000231668353,0.1755666434764862
55,32,59,24,1.0,0.0,0.48028552532196045,0.0025856660213321447,0.48028552532196045,0.0025856660213321447,0.19302873313426971,0.48028552532196045,0.0025856660213321447,0.19302873313426971
