dataset_scope,N,source_stage,strategy_id,family_label,teacher_validation_status,u2_range,peeq_max,surface_t_proxy,surface_t_proxy_mpa_if_converted,mises_max,mises_max_mpa_if_converted,nt11_mean_if_present,source_file
native_stage3,N40,Stage3_native,N40_A08_block_interleaved_quarters,block_interleaved,PASS_ODB_EXTRACTED,0.0020561176352202,0.1575537621974945,594139136.0,594.13913600000001,579924416.0,579.92441599999995,,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv
native_stage3,N40,Stage3_native,N40_A09_center_edge_alternating,center_edge,PASS_ODB_EXTRACTED,0.0018988421652466,0.177616149187088,588119552.0,588.119552,579924096.0,579.92409599999996,,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv
native_stage3,N40,Stage3_native,N40_A10_graph_pointer_policy_zero_shot_or_proxy_best,graph_pointer_proxy,PASS_ODB_EXTRACTED,0.000760835359415,0.1565078347921371,585921600.0,585.92160000000001,579925632.0,579.92563199999995,,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv
native_stage3,N40,Stage3_native,N40_A11_graph_pointer_policy_diverse_01,graph_pointer_proxy,PASS_ODB_EXTRACTED,0.0017065715510398,0.1783028244972229,591114368.0,591.11436800000001,579925952.0,579.92595200000005,,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv
native_stage3,N40,Stage3_native,N40_A12_graph_pointer_policy_diverse_02,graph_pointer_proxy,PASS_ODB_EXTRACTED,0.0017555009108036,0.172971487045288,584625472.0,584.62547199999995,579924800.0,579.9248,,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv
native_stage3,N40,Stage3_native,N40_A13_graph_pointer_policy_anti_odd_even_novelty,graph_pointer_proxy,PASS_ODB_EXTRACTED,0.0006711278786042,0.1731724888086319,581541824.0,581.54182400000002,579925760.0,579.92575999999997,,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv
native_stage3,N40,Stage3_native,N40_A14_graph_pointer_policy_u2first_proxy,graph_pointer_proxy,PASS_ODB_EXTRACTED,0.0011768606042323,0.1633206307888031,585949184.0,585.94918399999995,579927232.0,579.927232,,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv
native_stage3,N40,Stage3_native,N40_A15_graph_pointer_policy_balanced_dispersion_proxy,graph_pointer_proxy,PASS_ODB_EXTRACTED,0.0012380398286495,0.1692227870225906,585095872.0,585.09587199999999,579926784.0,579.926784,,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv
native_stage3,N12,Stage3_native,S3B20_N12_B01_surrogate_top,mutation,PASS_TEACHER_FIELDS_EXTRACTED,3.767202088056365e-05,0.1479470580816269,585915072.0,585.91507200000001,579939584.0,579.93958399999997,,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv
native_stage3,N12,Stage3_native,S3B20_N12_B02_diversity_top,regular_jump_sentinel,PASS_TEACHER_FIELDS_EXTRACTED,2.3353248252533376e-05,0.1469611227512359,582776448.0,582.77644799999996,579939520.0,579.93952000000002,,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv
native_stage3,N12,Stage3_native,S3B20_N12_B03_method_c_inspired,method_c_inspired,PASS_TEACHER_FIELDS_EXTRACTED,7.903753157734172e-05,0.1574792563915252,581229056.0,581.22905600000001,579938368.0,579.93836799999997,,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv
native_stage3,N12,Stage3_native,S3B20_N12_B04_surrogate_top,regular_jump_sentinel,PASS_TEACHER_FIELDS_EXTRACTED,3.2932137401076034e-05,0.1426714956760406,582234944.0,582.23494400000004,579939584.0,579.93958399999997,,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv
native_stage3,N12,Stage3_native,S3B20_N12_B05_surrogate_top,mutation,PASS_TEACHER_FIELDS_EXTRACTED,3.931116134481272e-05,0.1496229320764541,585543936.0,585.54393600000003,579939584.0,579.93958399999997,,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv
native_stage3,N16,Stage3_native,S3B20_N16_B01_surrogate_top,mutation,PASS_TEACHER_FIELDS_EXTRACTED,5.233794854575535e-05,0.1504488587379455,581672320.0,581.67232000000001,579948352.0,579.948352,,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv
native_stage3,N16,Stage3_native,S3B20_N16_B02_diversity_top,mutation,PASS_TEACHER_FIELDS_EXTRACTED,7.41247381483845e-05,0.163513496518135,581958912.0,581.95891200000005,579947200.0,579.94719999999995,,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv
