n,strategy_name,dataset_source,order_json,candidate_family,selection_bucket,priority_role,u2_range,peeq_max,surface_t_proxy,mises_max,u2_rank_combined108_within_n,peeq_rank_combined108_within_n,surfaceT_rank_combined108_within_n,mises_rank_combined108_within_n,u2_cost_minmax_combined108_within_n,peeq_cost_minmax_combined108_within_n,surfaceT_cost_minmax_combined108_within_n,mises_cost_minmax_combined108_within_n,reward_combined108_u2_primary,combined108_constrained_rank_within_n,combined108_pareto_flag_u2_peeq,combined108_pareto_flag_u2_peeq_surfaceT_mises,teacher_validation_status,target_reward_combined108_u2_primary,target_u2_score_combined108_rank,target_peeq_score_combined108_rank,target_surfaceT_score_combined108_rank,target_mises_score_combined108_rank,target_combined108_constrained_rank_within_n
24,N24_A01_raster_left_to_right,probe60_run08,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]",raster,,,0.0005523721708868834,0.18925029039382935,587159872.0,579944256.0,27.0,30.0,27.0,13.5,0.8734600795804637,1.0,0.6425661846570265,0.696969696969697,0.10603448275862068,29.0,False,False,PASS_ODB_EXTRACTED,0.10603448275862068,0.10344827586206895,0.0,0.10344827586206895,0.5689655172413793,29.0
24,N24_A02_odd_even_interlaced,probe60_run08,"[0,2,4,6,8,10,12,14,16,18,20,22,1,3,5,7,9,11,13,15,17,19,21,23]",odd_even,,,8.360300034837564e-05,0.15498611330986023,586226112.0,579943936.0,13.0,8.0,25.0,8.0,0.07431611936549731,0.1425757740731184,0.5452975726181191,0.5454545454545454,0.5879310344827586,15.0,False,True,PASS_ODB_EXTRACTED,0.5879310344827586,0.5862068965517242,0.7586206896551724,0.1724137931034483,0.7586206896551724,15.0
24,N24_A03_greedy_maximin_distance,probe60_run08,"[0,23,11,17,5,8,14,20,2,1,3,4,6,7,9,10,12,13,15,16,18,19,21,22]",maximin,,,0.0002935029126547306,0.16460579633712769,584637632.0,579944576.0,21.0,23.0,21.0,20.0,0.432147345716368,0.3832980086419956,0.37982759655193105,0.8484848484848485,0.2982758620689655,23.0,False,False,PASS_ODB_EXTRACTED,0.2982758620689655,0.31034482758620685,0.24137931034482762,0.31034482758620685,0.3448275862068966,23.0
24,N24_A04_method_c_u2_first_engineering,probe60_run08,"[0,2,4,6,8,10,12,14,16,18,20,22,11,9,7,5,3,1,13,15,17,19,21,23]",method_c,,,5.621172385872342e-05,0.15437763929367065,581727232.0,579944640.0,3.0,6.0,5.0,23.5,0.02762027299800325,0.1273493654233668,0.07665486643066195,0.8787878787878788,0.8681034482758622,1.0,True,True,PASS_ODB_EXTRACTED,0.8681034482758622,0.9310344827586207,0.8275862068965517,0.8620689655172413,0.22413793103448276,1.0
24,N24_A05_center_out,probe60_run08,"[11,12,10,13,9,14,8,15,7,16,6,17,5,18,4,19,3,20,2,21,1,22,0,23]",center_out,,,0.0006265991143266092,0.17296180129051208,588072192.0,579944128.0,30.0,27.0,28.0,11.5,1.0,0.592398056818809,0.7376014186950406,0.6363636363636364,0.05948275862068966,30.0,False,False,PASS_ODB_EXTRACTED,0.05948275862068966,0.0,0.10344827586206895,0.06896551724137934,0.6379310344827587,30.0
24,N24_A06_edge_in_alternating,probe60_run08,"[0,23,1,22,2,21,3,20,4,19,5,18,6,17,7,16,8,15,9,14,10,13,11,12]",edge_in,,,0.000525546938433763,0.18484757840633392,590591168.0,579942784.0,25.0,29.0,30.0,1.0,0.8277292085173192,0.8898268617802749,1.0,0.0,0.16896551724137931,28.0,False,True,PASS_ODB_EXTRACTED,0.16896551724137931,0.1724137931034483,0.03448275862068961,0.0,1.0,28.0
24,N24_A07_regular_jump_coprime,probe60_run08,"[0,11,22,9,20,7,18,5,16,3,14,1,12,23,10,21,8,19,6,17,4,15,2,13]",regular_jump,,,0.00023713416885584593,0.1627264767885208,583243392.0,579943104.0,19.0,19.0,16.0,2.0,0.3360515613028256,0.33627005564943985,0.23459135849383655,0.15151515151515152,0.41896551724137926,19.0,False,True,PASS_ODB_EXTRACTED,0.41896551724137926,0.3793103448275862,0.3793103448275862,0.48275862068965514,0.9655172413793104,19.0
24,N24_A08_block_interleaved_quarters,probe60_run08,"[0,6,12,18,1,7,13,19,2,8,14,20,3,9,15,21,4,10,16,22,5,11,17,23]",block_interleaved,,,0.0006247397857350734,0.15462736785411835,584995648.0,579943744.0,29.0,7.0,23.0,5.5,0.9968302710430511,0.13359855439729015,0.41712167576684867,0.45454545454545453,0.24741379310344824,24.0,False,False,PASS_ODB_EXTRACTED,0.24741379310344824,0.03448275862068961,0.7931034482758621,0.24137931034482762,0.8448275862068966,24.0
24,N24_A09_center_edge_alternating,probe60_run08,"[11,0,12,23,10,1,13,22,9,2,14,21,8,3,15,20,7,4,16,19,6,5,17,18]",center_edge,,,0.0005546370016418223,0.17539091408252716,581775744.0,579943744.0,28.0,28.0,7.0,5.5,0.8773210967558025,0.6531839951554709,0.08170830083268332,0.45454545454545453,0.18017241379310348,27.0,False,True,PASS_ODB_EXTRACTED,0.18017241379310348,0.06896551724137934,0.06896551724137934,0.7931034482758621,0.8448275862068966,27.0
24,N24_A10_graph_pointer_policy_zero_shot_or_proxy_best,probe60_run08,"[0,23,2,11,4,17,6,5,8,10,14,12,20,16,1,18,3,22,7,9,13,15,19,21]",graph_pointer_proxy,,,0.00018885933013734757,0.15415936708450317,583863616.0,579943360.0,15.0,5.0,17.0,4.0,0.25375402934712615,0.12188733785071751,0.29919931731967975,0.2727272727272727,0.5982758620689654,13.0,False,True,PASS_ODB_EXTRACTED,0.5982758620689654,0.5172413793103448,0.8620689655172413,0.4482758620689655,0.896551724137931,13.0
24,N24_A11_graph_pointer_policy_diverse_01,probe60_run08,"[0,11,23,22,1,9,20,2,7,21,18,3,5,16,4,19,14,12,6,17,10,8,15,13]",graph_pointer_proxy,,,0.0002307547981672542,0.16373257339000702,589194880.0,579943936.0,17.0,21.0,29.0,8.0,0.3251761968886001,0.36144654238142615,0.8545504243418202,0.5454545454545454,0.3948275862068966,20.0,False,False,PASS_ODB_EXTRACTED,0.3948275862068966,0.4482758620689655,0.31034482758620685,0.03448275862068961,0.7586206896551724,20.0
24,N24_A12_graph_pointer_policy_diverse_02,probe60_run08,"[9,14,8,15,7,16,6,17,5,18,4,19,3,20,2,21,1,22,0,23,11,12,10,13]",graph_pointer_proxy,,,0.0005429062013035946,0.16415530443191528,583079232.0,579943936.0,26.0,22.0,14.0,8.0,0.8573227717208752,0.3720249326195807,0.2174910164869964,0.5454545454545454,0.23793103448275865,25.0,False,False,PASS_ODB_EXTRACTED,0.23793103448275865,0.13793103448275867,0.27586206896551724,0.5517241379310345,0.7586206896551724,25.0
24,N24_A13_graph_pointer_policy_anti_odd_even_novelty,probe60_run08,"[1,22,3,20,5,18,7,16,9,14,11,12,13,10,15,8,17,6,19,4,21,2,23,0]",graph_pointer_proxy,,,0.0002316626496394747,0.16216421127319336,581204672.0,579944256.0,18.0,17.0,2.0,13.5,0.3267238755039917,0.32219996509791227,0.02222044440888818,0.696969696969697,0.48362068965517246,17.0,False,True,PASS_ODB_EXTRACTED,0.48362068965517246,0.4137931034482759,0.4482758620689655,0.9655172413793104,0.5689655172413793,17.0
24,N24_A14_graph_pointer_policy_u2first_proxy,probe60_run08,"[0,11,2,12,4,10,6,13,8,9,14,15,16,7,18,20,22,17,1,5,3,19,21,23]",graph_pointer_proxy,,,0.00037357585802055837,0.1622905135154724,583235840.0,579944640.0,22.0,18.0,15.0,23.5,0.5686533590965028,0.3253605430406878,0.23380467609352187,0.8787878787878788,0.325,21.0,False,False,PASS_ODB_EXTRACTED,0.325,0.27586206896551724,0.4137931034482759,0.5172413793103448,0.22413793103448276,21.0
24,N24_A15_graph_pointer_policy_balanced_dispersion_proxy,probe60_run08,"[0,11,23,12,10,17,13,5,9,8,14,20,15,2,7,1,16,3,6,4,18,19,21,22]",graph_pointer_proxy,,,0.000441046652440491,0.1661432981491089,583990144.0,579944128.0,24.0,26.0,19.0,11.5,0.6836755944317627,0.4217723399463343,0.3123795809249518,0.6363636363636364,0.23189655172413792,26.0,False,False,PASS_ODB_EXTRACTED,0.23189655172413792,0.2068965517241379,0.13793103448275867,0.3793103448275862,0.6379310344827587,26.0
40,N40_A01_raster_left_to_right,probe60_run08,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39]",raster,,,0.0015270577277988195,0.20001305639743805,585953088.0,579928512.0,22.0,29.0,20.0,30.0,0.7246132460727596,0.9901310909115432,0.3342242203263832,1.0,0.2206896551724138,24.0,False,False,PASS_ODB_EXTRACTED,0.2206896551724138,0.27586206896551724,0.03448275862068961,0.3448275862068966,0.0,24.0
