n,strategy_name,dataset_source,order_hash,first_track_norm,last_track_norm,normalized_mean_jump,normalized_max_jump,adjacent_jump_count,long_jump_count,parity_switch_rate,monotonicity_fraction,direction_reversal_count,jump_entropy,early_center_bias,late_center_bias,edge_early_count,center_early_count,max_unvisited_gap_proxy_mean_norm,max_unvisited_gap_proxy_max_norm,odd_even_transition_count,target_reward_combined172_u2_primary,target_u2_score_combined172_rank,target_peeq_score_combined172_rank,target_surfaceT_score_combined172_rank,target_mises_score_combined172_rank
40,S3R19B28_N40_B08_known_best_mutation,batch28_run20,28a97f63306a5424,0.02564102564102564,0.07692307692307693,0.09861932938856016,0.9743589743589743,1,3,0.05128205128205128,0.9210526315789473,3,0.5537526154049188,0.5076923076923077,0.49230769230769234,5,5,0.221875,0.95,2.0,0.6471698113207548,0.6226415094339622,0.8301886792452831,0.4528301886792453,0.6226415094339622
40,S3R19B28_N40_B09_known_best_mutation,batch28_run20,ee3347652006802e,0.02564102564102564,0.07692307692307693,0.09861932938856016,1.0,0,2,0.05128205128205128,0.9210526315789473,3,0.4373186586064318,0.30256410256410254,0.6923076923076923,1,9,0.2,0.95,2.0,0.5952830188679246,0.7358490566037736,0.30188679245283023,0.2075471698113207,0.7169811320754718
40,S3R19B28_N40_B10_known_best_mutation,batch28_run20,6b85dcffc8f51f55,0.10256410256410256,0.05128205128205128,0.09861932938856016,1.0,0,2,0.05128205128205128,0.8947368421052632,4,0.4373186586064318,0.3641025641025641,0.7025641025641025,3,7,0.225,0.875,2.0,0.7165094339622641,0.7924528301886793,0.6037735849056604,0.5660377358490566,0.4811320754716981
12,S3R24L64_N12_B01_top_region,shortlist64_run27,59a4564dddea3d39,0.09090909090909091,0.9090909090909091,0.2892561983471074,0.9090909090909091,1,1,0.09090909090909091,0.6,4,1.1209503926695834,0.8181818181818182,0.4545454545454546,3,0,0.2638888888888889,0.8333333333333334,1.0,0.7370967741935485,0.7419354838709677,0.7096774193548387,0.8387096774193549,0.5806451612903225
12,S3R24L64_N12_B02_top_region,shortlist64_run27,1cde2b67a4c422fe,0.0,1.0,0.23966942148760328,0.7272727272727273,1,1,0.09090909090909091,0.8,2,0.8855741515726718,0.45454545454545453,0.6363636363636364,1,2,0.24305555555555555,0.9166666666666666,1.0,0.4943548387096774,0.5483870967741935,0.5483870967741935,0.19354838709677424,0.17741935483870963
12,S3R24L64_N12_B03_model_disagreement,shortlist64_run27,06159883e6ddc52e,0.09090909090909091,0.9090909090909091,0.25619834710743805,0.7272727272727273,1,1,0.09090909090909091,0.8,2,1.0335620542028174,0.393939393939394,0.4545454545454546,1,2,0.2222222222222222,0.8333333333333334,1.0,0.5258064516129033,0.5161290322580645,0.6129032258064516,0.6774193548387097,0.0
12,S3R24L64_N12_B04_uncertainty_calibration,shortlist64_run27,6e7afc0358f50959,0.0,1.0,0.23966942148760328,0.9090909090909091,2,1,0.2727272727272727,0.8,2,1.0335620542028177,0.7575757575757577,0.6363636363636364,2,1,0.2916666666666667,0.9166666666666666,3.0,0.5580645161290323,0.5806451612903225,0.4193548387096774,0.7741935483870968,0.3870967741935484
12,S3R24L64_N12_B05_diversity_coverage,shortlist64_run27,3a2cff7d7a0ab264,0.7272727272727273,0.2727272727272727,0.3884297520661157,0.7272727272727273,0,2,0.8181818181818182,0.2,8,0.9075352941020093,0.5151515151515151,0.5151515151515151,1,2,0.2847222222222222,0.6666666666666666,9.0,0.6314516129032258,0.7741935483870968,0.4838709677419355,0.22580645161290325,0.17741935483870963
12,S3R24L64_N12_B06_tradeoff_probe,shortlist64_run27,d46806645d6af179,0.9090909090909091,0.09090909090909091,0.42148760330578516,0.8181818181818182,3,4,1.0,0.4,6,1.5941666991130168,0.4545454545454546,0.8181818181818182,1,2,0.2569444444444445,0.8333333333333334,11.0,0.18064516129032263,0.09677419354838712,0.19354838709677424,0.3870967741935484,0.8064516129032258
12,S3R24L64_N12_B07_sentinel_control,shortlist64_run27,0e14ff64f93518f8,0.6363636363636364,0.45454545454545453,0.36363636363636365,0.8181818181818182,1,3,0.5454545454545454,0.4,6,1.7986522062451287,0.5757575757575758,0.393939393939394,1,2,0.34027777777777773,0.5833333333333334,6.0,0.26935483870967747,0.25806451612903225,0.12903225806451613,0.3548387096774194,0.8064516129032258
