n,strategy_name,strategy_family,candidate_group,first_track,last_track,center_track_index,first_track_norm,last_track_norm,mean_jump,median_jump,max_jump,min_jump,std_jump,total_jump,normalized_mean_jump,normalized_max_jump,adjacent_jump_count,long_jump_count,jump_entropy,running_center_distance_mean,early_center_bias,late_center_bias,edge_early_count,center_early_count,odd_even_transition_count,parity_switch_rate,monotonicity_fraction,direction_reversal_count,max_unvisited_gap_proxy_mean_norm,max_unvisited_gap_proxy_max_norm,is_raster_like,is_center_out_like,is_edge_in_like,is_odd_even_like,is_regular_jump_like,is_block_interleaved_like
16,N16_A06_edge_in_alternating,edge_in,engineering_baseline,0,8,7.5,0.0,0.5333333333333333,8.0,8,15,1,4.320493798938574,120,0.5333333333333333,1.0,1,8,3.906890595608518,0.5333333333333333,0.9333333333333333,0.13333333333333333,4,0,8,0.5333333333333333,0.0,14,0.46875,0.9375,False,False,True,False,False,False
16,N16_A07_regular_jump_coprime,regular_jump,engineering_baseline,0,11,7.5,0.0,0.7333333333333333,6.6,5,11,5,2.6532998322843198,99,0.44,0.7333333333333333,0,4,0.8366407419411673,0.5333333333333333,0.6666666666666666,0.5333333333333333,2,2,15,1.0,0.42857142857142855,8,0.234375,0.9375,False,False,False,False,True,False
16,N16_A08_block_interleaved_quarters,block_interleaved,engineering_baseline,0,15,7.5,0.0,1.0,5.4,4,11,4,2.8,81,0.36000000000000004,0.7333333333333333,0,3,0.7219280948873623,0.5333333333333333,0.5333333333333333,0.5333333333333333,2,2,3,0.2,0.5714285714285714,6,0.22265625,0.9375,False,False,False,False,False,True
16,N16_A09_center_edge_alternating,center_edge,engineering_baseline,7,12,7.5,0.4666666666666667,0.8,6.066666666666666,7,9,1,2.768071932270226,91,0.40444444444444444,0.6,2,7,2.523231428797621,0.5333333333333333,0.5333333333333333,0.5333333333333333,2,2,11,0.7333333333333333,0.5,7,0.265625,0.5,False,False,False,False,False,False
16,N16_A10_graph_pointer_policy_zero_shot_or_proxy_best,graph_pointer_proxy,proxy_fallback_policy,0,1,7.5,0.0,0.06666666666666667,5.533333333333333,5,15,1,4.410089442277661,83,0.3688888888888889,1.0,3,3,2.3898980954642877,0.5333333333333333,0.7,0.7666666666666666,3,1,15,1.0,0.21428571428571427,11,0.3125,0.9375,False,False,False,False,False,False
16,N16_A11_graph_pointer_policy_diverse_01,graph_pointer_proxy,proxy_fallback_policy,0,6,7.5,0.0,0.4,6.4,5,13,1,3.4409301068170506,96,0.4266666666666667,0.8666666666666667,1,6,3.006238928653389,0.5333333333333333,0.6666666666666666,0.2,2,2,8,0.5333333333333333,0.35714285714285715,9,0.27734375,0.9375,False,False,False,False,False,False
16,N16_A12_graph_pointer_policy_diverse_02,graph_pointer_proxy,proxy_fallback_policy,9,6,7.5,0.6,0.4,8.333333333333334,8,15,1,4.109609335312651,125,0.5555555555555556,1.0,1,9,3.7735572622751845,0.5333333333333333,0.3333333333333333,0.3333333333333333,0,4,7,0.4666666666666667,0.0,14,0.21875,0.5625,False,False,False,False,False,False
16,N16_A13_graph_pointer_policy_anti_odd_even_novelty,graph_pointer_proxy,proxy_fallback_policy,1,0,7.5,0.06666666666666667,0.0,7.533333333333333,7,15,1,4.349201714746691,113,0.5022222222222222,1.0,2,7,2.9735572622751856,0.5333333333333333,0.7333333333333334,0.8666666666666667,4,0,15,1.0,0.07142857142857142,13,0.25,0.875,False,False,False,True,False,False
16,N16_A14_graph_pointer_policy_u2first_proxy,graph_pointer_proxy,proxy_fallback_policy,0,15,7.5,0.0,1.0,4.466666666666667,4,10,2,2.6549743668986503,67,0.2977777777777778,0.6666666666666666,0,2,2.599581230646065,0.5333333333333333,0.4666666666666667,0.8,2,2,5,0.3333333333333333,0.42857142857142855,8,0.30078125,0.9375,False,False,False,False,False,False
16,N16_A15_graph_pointer_policy_balanced_dispersion_proxy,graph_pointer_proxy,proxy_fallback_policy,0,14,7.5,0.0,0.9333333333333333,5.6,6,12,1,3.22076595444831,84,0.3733333333333333,0.8,1,4,2.9735572622751847,0.5333333333333333,0.5333333333333333,0.7666666666666666,2,2,6,0.4,0.42857142857142855,8,0.26953125,0.9375,False,False,False,False,False,False
24,N24_A01_raster_left_to_right,raster,engineering_baseline,0,23,11.5,0.0,1.0,1.0,1,1,1,0.0,23,0.043478260869565216,0.043478260869565216,23,0,-0.0,0.5217391304347826,0.7826086956521738,0.7826086956521738,6,0,23,1.0,1.0,0,0.4791666666666667,0.9583333333333334,True,False,False,False,False,False
