final_expansion_batch,strategy_name,n,expected_case_dir,expected_job_name,expected_INP_path_placeholder,order_hash,selected_by_bucket,candidate_source,teacher_validated,abaqus_validated
final_expansion_batch01,PPOFINAL_N16_B032_diversity,16,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N16\PPOFINAL_N16_B032_diversity,J2D_PPOFINAL_N16_B032_diversity,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch01\N16\PPOFINAL_N16_B032_diversity\J2D_PPOFINAL_N16_B032_diversity.inp,f785e57b5b7c8171,diversity,PPO_final_expansion_checkpoint_inference,False,False
final_expansion_batch02,PPOFINAL_N12_B033_diversity,12,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch02\N12\PPOFINAL_N12_B033_diversity,J2D_PPOFINAL_N12_B033_diversity,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch02\N12\PPOFINAL_N12_B033_diversity\J2D_PPOFINAL_N12_B033_diversity.inp,3ae31ba5ab2dcb44,diversity,PPO_final_expansion_checkpoint_inference,False,False
final_expansion_batch02,PPOFINAL_N12_B034_diversity,12,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch02\N12\PPOFINAL_N12_B034_diversity,J2D_PPOFINAL_N12_B034_diversity,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch02\N12\PPOFINAL_N12_B034_diversity\J2D_PPOFINAL_N12_B034_diversity.inp,428e5ef4ec1af069,diversity,PPO_final_expansion_checkpoint_inference,False,False
final_expansion_batch02,PPOFINAL_N12_B035_diversity,12,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch02\N12\PPOFINAL_N12_B035_diversity,J2D_PPOFINAL_N12_B035_diversity,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch02\N12\PPOFINAL_N12_B035_diversity\J2D_PPOFINAL_N12_B035_diversity.inp,9d16225c8842df9d,diversity,PPO_final_expansion_checkpoint_inference,False,False
final_expansion_batch02,PPOFINAL_N12_B036_efficiency,12,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch02\N12\PPOFINAL_N12_B036_efficiency,J2D_PPOFINAL_N12_B036_efficiency,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch02\N12\PPOFINAL_N12_B036_efficiency\J2D_PPOFINAL_N12_B036_efficiency.inp,f73b4f03f3ad3bc4,efficiency,PPO_final_expansion_checkpoint_inference,False,False
final_expansion_batch02,PPOFINAL_N12_B037_efficiency,12,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch02\N12\PPOFINAL_N12_B037_efficiency,J2D_PPOFINAL_N12_B037_efficiency,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch02\N12\PPOFINAL_N12_B037_efficiency\J2D_PPOFINAL_N12_B037_efficiency.inp,b8d668f55850ae91,efficiency,PPO_final_expansion_checkpoint_inference,False,False
final_expansion_batch02,PPOFINAL_N12_B038_efficiency,12,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch02\N12\PPOFINAL_N12_B038_efficiency,J2D_PPOFINAL_N12_B038_efficiency,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch02\N12\PPOFINAL_N12_B038_efficiency\J2D_PPOFINAL_N12_B038_efficiency.inp,0281cd940a2fe6d9,efficiency,PPO_final_expansion_checkpoint_inference,False,False
final_expansion_batch02,PPOFINAL_N12_B039_efficiency,12,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch02\N12\PPOFINAL_N12_B039_efficiency,J2D_PPOFINAL_N12_B039_efficiency,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch02\N12\PPOFINAL_N12_B039_efficiency\J2D_PPOFINAL_N12_B039_efficiency.inp,caf58a70972ef4f4,efficiency,PPO_final_expansion_checkpoint_inference,False,False
final_expansion_batch02,PPOFINAL_N12_B040_efficiency,12,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch02\N12\PPOFINAL_N12_B040_efficiency,J2D_PPOFINAL_N12_B040_efficiency,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch02\N12\PPOFINAL_N12_B040_efficiency\J2D_PPOFINAL_N12_B040_efficiency.inp,60da2971c89ac202,efficiency,PPO_final_expansion_checkpoint_inference,False,False
final_expansion_batch02,PPOFINAL_N12_B041_efficiency,12,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch02\N12\PPOFINAL_N12_B041_efficiency,J2D_PPOFINAL_N12_B041_efficiency,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch02\N12\PPOFINAL_N12_B041_efficiency\J2D_PPOFINAL_N12_B041_efficiency.inp,42cd3f72e6aaa2fc,efficiency,PPO_final_expansion_checkpoint_inference,False,False
final_expansion_batch02,PPOFINAL_N12_B042_novelty,12,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch02\N12\PPOFINAL_N12_B042_novelty,J2D_PPOFINAL_N12_B042_novelty,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch02\N12\PPOFINAL_N12_B042_novelty\J2D_PPOFINAL_N12_B042_novelty.inp,5623c97f5dcbd1a3,novelty,PPO_final_expansion_checkpoint_inference,False,False
final_expansion_batch02,PPOFINAL_N12_B043_novelty,12,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch02\N12\PPOFINAL_N12_B043_novelty,J2D_PPOFINAL_N12_B043_novelty,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_final_expansion_224_to_320_batch224_v01\final_expansion_batch02\N12\PPOFINAL_N12_B043_novelty\J2D_PPOFINAL_N12_B043_novelty.inp,667cc0b2be39f4b7,novelty,PPO_final_expansion_checkpoint_inference,False,False
