n,leaderboard,rank,strategy_name,dataset_source,metric_value,u2_range,peeq_max,surface_t_proxy,mises_max
12,top_reward,3,S3R34N32INF_N12_B04_hybrid_disagree,run36_N32_informed_native_batch32,0.3166666666666667,5.994689445287804e-05,0.1500022262334823,581437888.0,579938432.0
12,top_reward,4,S3R34N32INF_N12_B01_graph_pointer,run36_N32_informed_native_batch32,0.2166666666666667,5.744353620684706e-05,0.1684480607509613,582666752.0,579939584.0
16,top_reward,1,S3R34N32INF_N16_B01_graph_pointer,run36_N32_informed_native_batch32,0.7166666666666667,5.834493731526891e-05,0.1720538139343261,581969920.0,579948480.0
16,top_reward,2,S3R34N32INF_N16_B03_hybrid_agree,run36_N32_informed_native_batch32,0.6000000000000001,8.978642154033878e-05,0.1544402092695236,583986816.0,579947264.0
16,top_reward,3,S3R34N32INF_N16_B02_surrogate_top,run36_N32_informed_native_batch32,0.3666666666666667,9.155312864095322e-05,0.1565309762954712,582068416.0,579947136.0
16,top_reward,4,S3R34N32INF_N16_B04_hybrid_disagree,run36_N32_informed_native_batch32,0.3166666666666667,9.529680437481149e-05,0.1514548659324646,581461312.0,579948160.0
24,top_reward,1,S3R34N32INF_N24_B10_n24_calibration,run36_N32_informed_native_batch32,0.7818181818181819,3.273940910730744e-05,0.1578422635793686,583110016.0,579944384.0
24,top_reward,2,S3R34N32INF_N24_B11_n24_calibration,run36_N32_informed_native_batch32,0.7590909090909091,4.1137876905850135e-05,0.1561603546142578,583126336.0,579943616.0
24,top_reward,3,S3R34N32INF_N24_B08_n24_calibration,run36_N32_informed_native_batch32,0.6590909090909092,5.9892929130000994e-05,0.1561369895935058,581614144.0,579944768.0
24,top_reward,4,S3R34N32INF_N24_B01_graph_pointer,run36_N32_informed_native_batch32,0.6454545454545454,8.404852360399673e-05,0.1512167304754257,581126080.0,579944640.0
24,top_reward,5,S3R34N32INF_N24_B12_n24_calibration,run36_N32_informed_native_batch32,0.5954545454545453,5.430529381555971e-05,0.1596519500017166,585878784.0,579943488.0
40,top_reward,1,S3R34N32INF_N40_B10_n40_best_near,run36_N32_informed_native_batch32,0.7909090909090909,6.680645856249612e-05,0.1554957032203674,581764736.0,579927616.0
40,top_reward,2,S3R34N32INF_N40_B08_n40_best_near,run36_N32_informed_native_batch32,0.7795454545454547,5.696606240235269e-05,0.1578764021396637,582174208.0,579926528.0
40,top_reward,3,S3R34N32INF_N40_B11_n40_best_near,run36_N32_informed_native_batch32,0.6500000000000001,0.0001003126781142,0.1535033136606216,582332992.0,579927552.0
40,top_reward,4,S3R34N32INF_N40_B09_n40_best_near,run36_N32_informed_native_batch32,0.6227272727272727,9.528287046123296e-05,0.162568524479866,581909696.0,579928064.0
40,top_reward,5,S3R34N32INF_N40_B06_diversity,run36_N32_informed_native_batch32,0.5454545454545455,0.0006026536907484,0.1472502499818802,585624640.0,579925120.0
