N,metric,value,value_type,claim_role
N16,PEEQ,0.15563784539699549,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N16,SurfaceT,582991360,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N16,Mises,579948032,raw_teacher_metric:mises_max,native_within_N_claim_scope
N16,U2,4.7168708988465369e-05,raw_teacher_metric:u2_range,native_within_N_claim_scope
N16,PEEQ,0.14891152083873749,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N16,SurfaceT,581447424,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N16,Mises,579948288,raw_teacher_metric:mises_max,native_within_N_claim_scope
N16,U2,4.9609476718615042e-05,raw_teacher_metric:u2_range,native_within_N_claim_scope
N16,PEEQ,0.15050330758094779,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N16,SurfaceT,585404352,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N16,Mises,579948288,raw_teacher_metric:mises_max,native_within_N_claim_scope
N24,U2,7.6346737841959111e-05,raw_teacher_metric:u2_range,native_within_N_claim_scope
N24,PEEQ,0.16024285554885859,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N24,SurfaceT,586730944,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N24,Mises,579944704,raw_teacher_metric:mises_max,native_within_N_claim_scope
N24,U2,7.5929321610601619e-05,raw_teacher_metric:u2_range,native_within_N_claim_scope
N24,PEEQ,0.15607720613479609,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N24,SurfaceT,581836224,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N24,Mises,579944512,raw_teacher_metric:mises_max,native_within_N_claim_scope
N24,U2,0.00025369730428789999,raw_teacher_metric:u2_range,native_within_N_claim_scope
N24,PEEQ,0.16507899761199951,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N24,SurfaceT,584643072,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N24,Mises,579944576,raw_teacher_metric:mises_max,native_within_N_claim_scope
N24,U2,5.7416827985434793e-05,raw_teacher_metric:u2_range,native_within_N_claim_scope
N24,PEEQ,0.15941052138805389,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N24,SurfaceT,581725376,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N24,Mises,579944832,raw_teacher_metric:mises_max,native_within_N_claim_scope
N24,U2,9.0828292741207406e-05,raw_teacher_metric:u2_range,native_within_N_claim_scope
N24,PEEQ,0.15368027985095969,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N24,SurfaceT,581741824,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N24,Mises,579944640,raw_teacher_metric:mises_max,native_within_N_claim_scope
N40,U2,0.0001138904335675,raw_teacher_metric:u2_range,native_within_N_claim_scope
N40,PEEQ,0.16068832576274869,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N40,SurfaceT,582971072,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N40,Mises,579927616,raw_teacher_metric:mises_max,native_within_N_claim_scope
N40,U2,8.9229224613518454e-05,raw_teacher_metric:u2_range,native_within_N_claim_scope
N40,PEEQ,0.1550463587045669,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N40,SurfaceT,585152448,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N40,Mises,579926080,raw_teacher_metric:mises_max,native_within_N_claim_scope
N40,U2,0.00068167004769739995,raw_teacher_metric:u2_range,native_within_N_claim_scope
N40,PEEQ,0.1621466130018234,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N40,SurfaceT,585965568,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
N40,Mises,579926656,raw_teacher_metric:mises_max,native_within_N_claim_scope
N40,U2,0.00018071313115789999,raw_teacher_metric:u2_range,native_within_N_claim_scope
N40,PEEQ,0.1540584713220596,raw_teacher_metric:peeq_max,native_within_N_claim_scope
N40,SurfaceT,582236352,raw_teacher_metric:surface_t_proxy,native_within_N_claim_scope
