n,strategy_name,dataset_source,order_json,candidate_family,selection_bucket,u2_range,peeq_max,surface_t_proxy,mises_max,u2_rank_combined80_within_n,peeq_rank_combined80_within_n,surfaceT_rank_combined80_within_n,mises_rank_combined80_within_n,u2_cost_minmax_combined80_within_n,peeq_cost_minmax_combined80_within_n,surfaceT_cost_minmax_combined80_within_n,mises_cost_minmax_combined80_within_n,reward_combined80_u2_primary,combined80_constrained_rank_within_n,combined80_pareto_flag_u2_peeq,combined80_pareto_flag_u2_peeq_surfaceT_mises,teacher_validation_status,target_reward_combined80_u2_primary,target_u2_score_combined80_rank,target_peeq_score_combined80_rank,target_surfaceT_score_combined80_rank,target_mises_score_combined80_rank,target_combined80_constrained_rank_within_n
24,N24_A14_graph_pointer_policy_u2first_proxy,probe60_run08,"[0,11,2,12,4,10,6,13,8,9,14,15,16,7,18,20,22,17,1,5,3,19,21,23]",graph_pointer_proxy,,0.00037357585802055837,0.1622905135154724,583235840.0,579944640.0,13.0,10.0,8.0,17.0,0.5564010345696857,0.24206441137079332,0.21639257077401408,0.90625,0.4157894736842106,11,False,False,PASS_ODB_EXTRACTED,0.4157894736842106,0.368421052631579,0.5263157894736843,0.631578947368421,0.1578947368421053,11
24,N24_A15_graph_pointer_policy_balanced_dispersion_proxy,probe60_run08,"[0,11,23,12,10,17,13,5,9,8,14,20,15,2,7,1,16,3,6,4,18,19,21,22]",graph_pointer_proxy,,0.000441046652440491,0.1661432981491089,583990144.0,579944128.0,14.0,16.0,11.0,9.5,0.6746904560181275,0.3503799438892061,0.29675312278405064,0.65625,0.3223684210526316,14,False,False,PASS_ODB_EXTRACTED,0.3223684210526316,0.3157894736842105,0.21052631578947367,0.4736842105263158,0.5526315789473684,14
40,N40_A01_raster_left_to_right,probe60_run08,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39]",raster,,0.0015270577277988195,0.20001305639743805,585953088.0,579928512.0,13.0,19.0,12.0,20.0,0.723456328064674,0.9880718889484135,0.3141768389961073,1.0,0.2921052631578948,14,False,False,PASS_ODB_EXTRACTED,0.2921052631578948,0.368421052631579,0.052631578947368474,0.42105263157894735,0.0,14
40,N40_A02_odd_even_interlaced,probe60_run08,"[0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39]",odd_even,,0.00015956887364154682,0.15780819952487946,587307392.0,579927744.0,5.0,6.0,14.0,19.0,0.03539202630247005,0.08274114173857565,0.4106324013382805,0.8285714285714286,0.6947368421052632,6,False,False,PASS_ODB_EXTRACTED,0.6947368421052632,0.7894736842105263,0.736842105263158,0.3157894736842105,0.052631578947368474,6
40,N40_A03_greedy_maximin_distance,probe60_run08,"[0,39,19,29,9,14,24,34,4,2,6,11,16,21,26,31,36,1,3,5,7,8,10,12,13,15,17,18,20,22,23,25,27,28,30,32,33,35,37,38]",maximin,,0.0006838651936504903,0.16065658628940582,585288896.0,579926656.0,9.0,8.0,9.0,13.5,0.2991964297144173,0.14384150574781715,0.2668720884650798,0.5857142857142857,0.5776315789473684,9,False,False,PASS_ODB_EXTRACTED,0.5776315789473684,0.5789473684210527,0.631578947368421,0.5789473684210527,0.3421052631578947,9
40,N40_A04_method_c_u2_first_engineering,probe60_run08,"[0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,19,17,15,13,11,9,7,5,3,1,21,23,25,27,29,31,33,35,37,39]",method_c,,0.0001108189990191022,0.15395095944404602,582221504.0,579926528.0,2.0,1.0,2.0,12.0,0.010863088943226596,0.0,0.0484078291230981,0.5571428571428572,0.9315789473684212,1,True,True,PASS_ODB_EXTRACTED,0.9315789473684212,0.9473684210526316,1.0,0.9473684210526316,0.42105263157894735,1
40,N40_A05_center_out,probe60_run08,"[19,20,18,21,17,22,16,23,15,24,14,25,13,26,12,27,11,28,10,29,9,30,8,31,7,32,6,33,5,34,4,35,3,36,2,37,1,38,0,39]",center_out,,0.001834161696024239,0.17962194979190826,588607232.0,579925632.0,17.0,18.0,16.0,5.5,0.8779784485361021,0.5506649849192519,0.5032089559042053,0.35714285714285715,0.1828947368421053,19,False,False,PASS_ODB_EXTRACTED,0.1828947368421053,0.1578947368421053,0.10526315789473684,0.21052631578947367,0.7631578947368421,19
40,N40_A06_edge_in_alternating,probe60_run08,"[0,39,1,38,2,37,3,36,4,35,5,34,6,33,7,32,8,31,9,30,10,29,11,28,12,27,13,26,14,25,15,24,16,23,17,22,18,21,19,20]",edge_in,,0.0016398808220401406,0.20056912302970886,595556480.0,579926400.0,14.0,20.0,19.0,10.0,0.7802242814749019,1.0,0.9981448223678813,0.5285714285714286,0.2368421052631579,17,False,False,PASS_ODB_EXTRACTED,0.2368421052631579,0.3157894736842105,0.0,0.052631578947368474,0.5263157894736843,17
40,N40_A07_regular_jump_coprime,probe60_run08,"[0,13,26,39,12,25,38,11,24,37,10,23,36,9,22,35,8,21,34,7,20,33,6,19,32,5,18,31,4,17,30,3,16,29,2,15,28,1,14,27]",regular_jump,,0.002076672622933984,0.1631038337945938,595582528.0,579924032.0,20.0,11.0,20.0,1.0,1.0,0.19633708508763967,1.0,0.0,0.14473684210526316,20,False,True,PASS_ODB_EXTRACTED,0.14473684210526316,0.0,0.4736842105263158,0.0,1.0,20
40,N40_A08_block_interleaved_quarters,probe60_run08,"[0,10,20,30,1,11,21,31,2,12,22,32,3,13,23,33,4,14,24,34,5,15,25,35,6,16,26,36,7,17,27,37,8,18,28,38,9,19,29,39]",block_interleaved,,0.0020561176352202892,0.1575537621974945,594139136.0,579924416.0,19.0,5.0,18.0,3.0,0.9896575732767711,0.0772832406156065,0.8971994566654208,0.08571428571428572,0.24736842105263163,16,False,True,PASS_ODB_EXTRACTED,0.24736842105263163,0.052631578947368474,0.7894736842105263,0.10526315789473684,0.8947368421052632,16
