N_label,scope,strategy_id,U2,PEEQ,SurfaceT,Mises,include_in_u2_panel,include_in_peeq_panel,include_in_surfacet_panel,include_in_mises_panel,stress_semantics_note
N12,native_stage3_combined552,S3R74FSD_N12_B11_n12_u2_safe,3.356847309987643e-05,0.1537109613418579,580.913536,579.93952,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,S3R74FSD_N12_B12_n12_run71_local,3.698998170875712e-05,0.1539746969938278,583.311936,579.939712,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,S3R74FSD_N12_B13_n12_run71_local,3.953997384087416e-05,0.1531052887439727,581.007104,579.939456,true,true,true,true,native Stage 3 MPa-scale stress definitions
N12,native_stage3_combined552,S3R74FSD_N12_B14_n12_run71_local,3.756570663426828e-05,0.1448495686054229,581.167168,579.93952,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,N16_A01_raster_left_to_right,0.0002434928235288,0.1752076148986816,587.841664,579.948288,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,N16_A02_odd_even_interlaced,4.9715717977960594e-05,0.1537079364061355,585.719808,579.94752,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,N16_A03_greedy_maximin_distance,4.607185064742225e-05,0.1532730907201767,582.92736,579.94816,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,N16_A04_method_c_u2_first_engineering,5.043179316999158e-05,0.1518275737762451,581.727104,579.948352,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,N16_A05_center_out,0.0002790839121189,0.1664191931486129,582.18208,579.946816,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,N16_A06_edge_in_alternating,0.0002053208902452,0.1797565519809723,581.764096,579.947776,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,N16_A07_regular_jump_coprime,0.0002763091160886,0.1653308719396591,581.433216,579.946752,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,N16_A08_block_interleaved_quarters,0.0001606882035503,0.1505546271800995,582.573376,579.94816,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,N16_A09_center_edge_alternating,0.0002147317868548,0.1743032783269882,580.899648,579.946944,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,N16_A10_graph_pointer_policy_zero_shot_or_proxy_best,0.0001204781697197,0.1701684147119522,581.290304,579.948096,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,N16_A11_graph_pointer_policy_diverse_01,0.0001829955551784,0.1743417531251907,582.880128,579.946944,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,N16_A12_graph_pointer_policy_diverse_02,0.0002397338296304,0.1613717526197433,581.517248,579.946816,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,N16_A13_graph_pointer_policy_anti_odd_even_novelty,0.0001174903159153,0.1519810110330581,581.33728,579.948288,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,N16_A14_graph_pointer_policy_u2first_proxy,0.00015728273911,0.1641508787870407,582.433856,579.947264,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,N16_A15_graph_pointer_policy_balanced_dispersion_proxy,0.0001736121434987,0.1645837575197219,582.198912,579.947904,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,S3B20_N16_B01_surrogate_top,5.233794854575535e-05,0.1504488587379455,581.67232,579.948352,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,S3B20_N16_B02_diversity_top,7.41247381483845e-05,0.163513496518135,581.958912,579.9472,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,S3B20_N16_B03_method_c_inspired,6.606194119740394e-05,0.1556378453969955,582.99136,579.948032,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,S3B20_N16_B04_surrogate_top,4.716870898846537e-05,0.1489115208387375,581.447424,579.948288,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,S3B20_N16_B05_surrogate_top,4.960947671861504e-05,0.1505033075809478,585.404352,579.948288,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,S3R19B28_N16_B01_surrogate_top,5.09631609020289e-05,0.1490653306245803,581.331328,579.948288,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,S3R19B28_N16_B02_u2_primary_top,4.36779828305589e-05,0.1526079922914505,581.782208,579.948352,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,S3R19B28_N16_B03_geometry_signal_top,0.0001079042317542,0.1605472415685653,584.084224,579.948032,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,S3R19B28_N16_B04_method_c_inspired,4.279385166228167e-05,0.1526066660881042,585.915328,579.948288,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,S3R24L64_N16_B01_top_region,5.932159001531545e-05,0.1564416885375976,585.075776,579.948416,true,true,true,true,native Stage 3 MPa-scale stress definitions
N16,native_stage3_combined552,S3R24L64_N16_B02_top_region,4.0733349123911466e-05,0.1522163301706314,581.438784,579.948416,true,true,true,true,native Stage 3 MPa-scale stress definitions
