n,strategy_name,mean_jump_norm,median_jump_norm,max_jump_norm,min_jump_norm,std_jump_norm,count_jump_1,count_jump_le_2,count_jump_ge_0_25N,count_jump_ge_0_50N,edge_mean_step_norm,center_mean_step_norm,edge_before_center_score,left_right_mean_abs_imbalance,left_right_max_abs_imbalance,dispersion_score_norm,adjacent_transition_count,repeated_neighbor_transition_rate
16,N16_A13_graph_pointer_policy_anti_odd_even_novelty,0.5022222222222222,0.4666666666666667,1.0,0.06666666666666667,0.2899467809831127,2,2,11,7,0.5,0.43333333333333335,-0.06666666666666665,0.5,1,0.3777777777777778,2,0.13333333333333333
16,N16_A14_graph_pointer_policy_u2first_proxy,0.2977777777777778,0.26666666666666666,0.6666666666666666,0.13333333333333333,0.1769982911265767,0,5,8,2,0.6166666666666667,0.13333333333333333,-0.4833333333333334,2.0,4,0.3777777777777778,0,0.0
16,N16_A15_graph_pointer_policy_balanced_dispersion_proxy,0.3733333333333333,0.4,0.8,0.06666666666666667,0.214717730296554,1,5,10,4,0.48333333333333334,0.13333333333333333,-0.35,0.75,2,0.3777777777777778,1,0.06666666666666667
24,N24_A01_raster_left_to_right,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.0,23,23,0,0,0.5,0.5,0.0,6.0,12,0.36231884057971014,23,1.0
24,N24_A02_odd_even_interlaced,0.1228733459357278,0.08695652173913043,0.9130434782608695,0.08695652173913043,0.1684648382545277,0,22,1,1,0.5,0.5,0.0,3.0,6,0.36231884057971014,0,0.0
24,N24_A03_greedy_maximin_distance,0.20415879017013233,0.08695652173913043,1.0,0.043478260869565216,0.25430776431745444,8,15,7,4,0.45652173913043476,0.391304347826087,-0.06521739130434778,2.9166666666666665,8,0.36231884057971014,8,0.34782608695652173
24,N24_A04_method_c_u2_first_engineering,0.1228733459357278,0.08695652173913043,0.5217391304347826,0.08695652173913043,0.11656022691469184,0,21,2,1,0.5362318840579711,0.391304347826087,-0.1449275362318841,3.0,6,0.36231884057971014,0,0.0
24,N24_A05_center_out,0.5217391304347826,0.5217391304347826,1.0,0.043478260869565216,0.28840215568307825,1,2,18,12,0.8913043478260869,0.021739130434782608,-0.8695652173913043,0.5,1,0.36231884057971014,1,0.043478260869565216
24,N24_A06_edge_in_alternating,0.5217391304347826,0.5217391304347826,1.0,0.043478260869565216,0.28840215568307825,1,2,18,12,0.10869565217391304,0.9782608695652174,0.8695652173913043,0.5,1,0.36231884057971014,1,0.043478260869565216
24,N24_A07_regular_jump_coprime,0.5160680529300568,0.4782608695652174,0.5652173913043478,0.4782608695652174,0.04310682136480673,0,0,23,10,0.45652173913043476,0.2826086956521739,-0.17391304347826086,1.0,2,0.36231884057971014,0,0.0
24,N24_A08_block_interleaved_quarters,0.3648393194706995,0.2608695652173913,0.7391304347826086,0.2608695652173913,0.1972687387250596,0,0,23,5,0.5,0.5,0.0,1.0,2,0.36231884057971014,0,0.0
