n,strategy_a,strategy_b,directed_adjacent_pair_overlap,undirected_adjacent_pair_overlap,kendall_tau_normalized_distance,spearman_rank_distance,jump_profile_distance
12,N12_A14_graph_pointer_policy_u2first_proxy,N12_A15_graph_pointer_policy_balanced_dispersion_proxy,0.2727272727272727,0.36363636363636365,0.24242424242424243,0.2062937062937063,0.15702479338842976
16,N16_A01_raster_left_to_right,N16_A02_odd_even_interlaced,0.0,0.0,0.23333333333333334,0.20588235294117646,0.11555555555555556
16,N16_A01_raster_left_to_right,N16_A03_greedy_maximin_distance,0.06666666666666667,0.06666666666666667,0.38333333333333336,0.38235294117647056,0.24444444444444446
16,N16_A01_raster_left_to_right,N16_A04_method_c_u2_first_engineering,0.0,0.0,0.2833333333333333,0.23529411764705882,0.11555555555555556
16,N16_A01_raster_left_to_right,N16_A05_center_out,0.06666666666666667,0.06666666666666667,0.4666666666666667,0.45294117647058824,0.4666666666666667
16,N16_A01_raster_left_to_right,N16_A06_edge_in_alternating,0.06666666666666667,0.06666666666666667,0.4666666666666667,0.45294117647058824,0.4666666666666667
16,N16_A01_raster_left_to_right,N16_A07_regular_jump_coprime,0.0,0.0,0.5,0.47058823529411764,0.3733333333333333
16,N16_A01_raster_left_to_right,N16_A08_block_interleaved_quarters,0.0,0.0,0.3,0.2647058823529412,0.29333333333333333
16,N16_A01_raster_left_to_right,N16_A09_center_edge_alternating,0.06666666666666667,0.13333333333333333,0.43333333333333335,0.40588235294117647,0.3377777777777778
16,N16_A01_raster_left_to_right,N16_A10_graph_pointer_policy_zero_shot_or_proxy_best,0.13333333333333333,0.2,0.35,0.35294117647058826,0.3022222222222222
16,N16_A01_raster_left_to_right,N16_A11_graph_pointer_policy_diverse_01,0.0,0.06666666666666667,0.4666666666666667,0.41911764705882354,0.36000000000000004
16,N16_A01_raster_left_to_right,N16_A12_graph_pointer_policy_diverse_02,0.06666666666666667,0.06666666666666667,0.49166666666666664,0.48823529411764705,0.48888888888888893
16,N16_A01_raster_left_to_right,N16_A13_graph_pointer_policy_anti_odd_even_novelty,0.13333333333333333,0.13333333333333333,0.5,0.5058823529411764,0.43555555555555553
16,N16_A01_raster_left_to_right,N16_A14_graph_pointer_policy_u2first_proxy,0.0,0.0,0.275,0.23970588235294119,0.23111111111111113
16,N16_A01_raster_left_to_right,N16_A15_graph_pointer_policy_balanced_dispersion_proxy,0.06666666666666667,0.06666666666666667,0.4583333333333333,0.43529411764705883,0.3066666666666667
16,N16_A02_odd_even_interlaced,N16_A03_greedy_maximin_distance,0.4666666666666667,0.4666666666666667,0.6166666666666667,0.7058823529411765,0.14666666666666667
16,N16_A02_odd_even_interlaced,N16_A04_method_c_u2_first_engineering,0.6666666666666666,0.8666666666666667,0.05,0.014705882352941176,0.05333333333333334
16,N16_A02_odd_even_interlaced,N16_A05_center_out,0.0,0.13333333333333333,0.5,0.4764705882352941,0.4044444444444445
16,N16_A02_odd_even_interlaced,N16_A06_edge_in_alternating,0.0,0.13333333333333333,0.5,0.4764705882352941,0.4044444444444445
16,N16_A02_odd_even_interlaced,N16_A07_regular_jump_coprime,0.0,0.0,0.4666666666666667,0.4411764705882353,0.3288888888888889
16,N16_A02_odd_even_interlaced,N16_A08_block_interleaved_quarters,0.0,0.0,0.23333333333333334,0.20588235294117646,0.19555555555555557
16,N16_A02_odd_even_interlaced,N16_A09_center_edge_alternating,0.0,0.0,0.4666666666666667,0.45294117647058824,0.2755555555555556
16,N16_A02_odd_even_interlaced,N16_A10_graph_pointer_policy_zero_shot_or_proxy_best,0.06666666666666667,0.06666666666666667,0.38333333333333336,0.38235294117647056,0.28444444444444444
16,N16_A02_odd_even_interlaced,N16_A11_graph_pointer_policy_diverse_01,0.0,0.13333333333333333,0.48333333333333334,0.4485294117647059,0.30666666666666664
16,N16_A02_odd_even_interlaced,N16_A12_graph_pointer_policy_diverse_02,0.0,0.13333333333333333,0.575,0.5823529411764706,0.4
16,N16_A02_odd_even_interlaced,N16_A13_graph_pointer_policy_anti_odd_even_novelty,0.0,0.06666666666666667,0.5333333333333333,0.5470588235294118,0.43555555555555553
16,N16_A02_odd_even_interlaced,N16_A14_graph_pointer_policy_u2first_proxy,0.3333333333333333,0.3333333333333333,0.20833333333333334,0.16029411764705884,0.18666666666666668
16,N16_A02_odd_even_interlaced,N16_A15_graph_pointer_policy_balanced_dispersion_proxy,0.13333333333333333,0.26666666666666666,0.5583333333333333,0.5558823529411765,0.2977777777777778
16,N16_A03_greedy_maximin_distance,N16_A04_method_c_u2_first_engineering,0.4,0.4666666666666667,0.5833333333333334,0.6808823529411765,0.19111111111111112
16,N16_A03_greedy_maximin_distance,N16_A05_center_out,0.2,0.3333333333333333,0.55,0.575,0.48000000000000004
16,N16_A03_greedy_maximin_distance,N16_A06_edge_in_alternating,0.06666666666666667,0.06666666666666667,0.43333333333333335,0.3926470588235294,0.26666666666666666
16,N16_A03_greedy_maximin_distance,N16_A07_regular_jump_coprime,0.0,0.0,0.43333333333333335,0.40588235294117647,0.30666666666666664
16,N16_A03_greedy_maximin_distance,N16_A08_block_interleaved_quarters,0.2,0.2,0.5833333333333334,0.625,0.19111111111111112
16,N16_A03_greedy_maximin_distance,N16_A09_center_edge_alternating,0.0,0.06666666666666667,0.4166666666666667,0.34705882352941175,0.20888888888888887
16,N16_A03_greedy_maximin_distance,N16_A10_graph_pointer_policy_zero_shot_or_proxy_best,0.06666666666666667,0.06666666666666667,0.23333333333333334,0.20588235294117646,0.2
16,N16_A03_greedy_maximin_distance,N16_A11_graph_pointer_policy_diverse_01,0.06666666666666667,0.2,0.4666666666666667,0.4161764705882353,0.2755555555555556
16,N16_A03_greedy_maximin_distance,N16_A12_graph_pointer_policy_diverse_02,0.26666666666666666,0.4,0.5083333333333333,0.5161764705882353,0.39555555555555555
16,N16_A03_greedy_maximin_distance,N16_A13_graph_pointer_policy_anti_odd_even_novelty,0.0,0.06666666666666667,0.6833333333333333,0.7235294117647059,0.3511111111111111
16,N16_A03_greedy_maximin_distance,N16_A14_graph_pointer_policy_u2first_proxy,0.2,0.26666666666666666,0.49166666666666664,0.5058823529411764,0.19111111111111112
16,N16_A03_greedy_maximin_distance,N16_A15_graph_pointer_policy_balanced_dispersion_proxy,0.26666666666666666,0.4,0.225,0.16029411764705884,0.3022222222222222
16,N16_A04_method_c_u2_first_engineering,N16_A05_center_out,0.0,0.06666666666666667,0.45,0.4176470588235294,0.36000000000000004
16,N16_A04_method_c_u2_first_engineering,N16_A06_edge_in_alternating,0.0,0.0,0.55,0.5352941176470588,0.39555555555555555
16,N16_A04_method_c_u2_first_engineering,N16_A07_regular_jump_coprime,0.0,0.0,0.45,0.4235294117647059,0.3022222222222222
16,N16_A04_method_c_u2_first_engineering,N16_A08_block_interleaved_quarters,0.0,0.0,0.26666666666666666,0.23529411764705882,0.17777777777777776
16,N16_A04_method_c_u2_first_engineering,N16_A09_center_edge_alternating,0.06666666666666667,0.06666666666666667,0.45,0.4235294117647059,0.24000000000000002
