regime,target,feature_set,model_name,macro_spearman_leave_N_out,macro_top5_overlap_leave_N_out,macro_top10_overlap_leave_N_out,n24_spearman,n32_spearman,n40_spearman
plus_N32_unweighted,target_surfaceT_score_combined172_plus_N32_rank,F01_basic_order,ExtraTreesRegressor,0.3191260565298234,1.2,4.0,0.334934433419363,0.12139808743136482,0.4244133998856198
plus_N32_unweighted,target_surfaceT_score_combined172_plus_N32_rank,F07_F01_no_n,MeanBaseline,nan,0.2,2.0,nan,nan,nan
plus_N32_unweighted,target_surfaceT_score_combined172_plus_N32_rank,F07_F01_no_n,Ridge,-0.019444633239522627,0.6,3.0,-0.029887160915181038,0.05853789706801939,0.3510149639498856
plus_N32_unweighted,target_surfaceT_score_combined172_plus_N32_rank,F07_F01_no_n,ExtraTreesRegressor,0.31113309825835234,1.2,3.4,0.36032327164577954,0.10253430324403762,0.5257038340449741
plus_N32_unweighted,target_mises_score_combined172_plus_N32_rank,F01_basic_order,MeanBaseline,nan,0.6,3.4,nan,nan,nan
plus_N32_unweighted,target_mises_score_combined172_plus_N32_rank,F01_basic_order,Ridge,0.3325174403817984,1.6,3.6,0.5590933128449179,0.019311341545273676,-0.09288173628690354
plus_N32_unweighted,target_mises_score_combined172_plus_N32_rank,F01_basic_order,ExtraTreesRegressor,0.22653549295840306,0.8,3.4,0.4196743746250415,-0.05132120490955658,-0.4967464150152734
plus_N32_unweighted,target_mises_score_combined172_plus_N32_rank,F07_F01_no_n,MeanBaseline,nan,0.6,3.4,nan,nan,nan
plus_N32_unweighted,target_mises_score_combined172_plus_N32_rank,F07_F01_no_n,Ridge,0.44347268486084923,1.4,4.4,0.5449560256222923,0.02358752512571792,0.5134545130057817
plus_N32_unweighted,target_mises_score_combined172_plus_N32_rank,F07_F01_no_n,ExtraTreesRegressor,0.259407028880324,1.2,4.0,0.35094187251829284,-0.06106226700487457,-0.2718894795314392
plus_N32_balanced,target_reward_combined172_plus_N32_mapped_u2_primary,F01_basic_order,MeanBaseline,nan,0.4,1.2,nan,nan,nan
plus_N32_balanced,target_reward_combined172_plus_N32_mapped_u2_primary,F01_basic_order,Ridge,0.7361192802284474,1.0,4.6,0.6846158275950428,0.7506555429222899,0.8065567557831971
